num_of_agents,num_of_items,value_noise_ratio,beta,delta,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
10,4,0,0.1,{0.8},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01880679999885615
10,4,0,0.1,{0.9},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.027571500002522953
10,4,0,0.1,{0.9},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01790130000154022
10,4,0,0.1,{0.9},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015068900000187568
10,4,0,0.1,{0.9},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014815800008364022
10,4,0,0.1,{0.9},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014071800003875978
10,4,0,0.3,{0.001},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.030984600001829676
10,4,0,0.3,{0.001},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.030305000007501803
10,4,0,0.3,{0.001},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.03271919999679085
10,4,0,0.3,{0.001},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.029406599991489202
10,4,0,0.3,{0.001},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.029587099998025224
10,4,0,0.3,{0.34},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014881000010063872
10,4,0,0.3,{0.34},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.0169125999964308
10,4,0,0.3,{0.34},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015303799998946488
10,4,0,0.3,{0.34},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014988399998401292
10,4,0,0.3,{0.34},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015325299988035113
10,4,0,0.3,{0.5},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014008199999807402
10,4,0,0.3,{0.5},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016971299992292188
10,4,0,0.3,{0.5},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01519239999470301
10,4,0,0.3,{0.5},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.013434100008453242
10,4,0,0.3,{0.5},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.013702900003409013
10,4,0,0.3,{0.8},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015969899992342107
10,4,0,0.3,{0.8},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014759500001673587
10,4,0,0.3,{0.8},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.013885400010622106
10,4,0,0.3,{0.8},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015619300000253133
10,4,0,0.3,{0.8},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015240000007906929
10,4,0,0.3,{0.9},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015377599993371405
10,4,0,0.3,{0.9},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01663310000731144
10,4,0,0.3,{0.9},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015527499999734573
10,4,0,0.3,{0.9},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014546900012646802
10,4,0,0.3,{0.9},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014653599995654076
10,4,0,0.5,{0.001},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.029851800005417317
10,4,0,0.5,{0.001},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.028855600001406856
10,4,0,0.5,{0.001},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.030085499995038845
10,4,0,0.5,{0.001},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.028384699995513074
10,4,0,0.5,{0.001},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.029809300001943484
10,4,0,0.5,{0.34},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.018563799996627495
10,4,0,0.5,{0.34},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015795200000866316
10,4,0,0.5,{0.34},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015708300008554943
10,4,0,0.5,{0.34},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.017209300000104122
10,4,0,0.5,{0.34},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01608630000555422
10,4,0,0.5,{0.5},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01782680000178516
10,4,0,0.5,{0.5},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016512899994268082
10,4,0,0.5,{0.5},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014805999991949648
10,4,0,0.5,{0.5},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.017638899997109547
10,4,0,0.5,{0.5},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01742760000342969
10,4,0,0.5,{0.8},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01570259999425616
10,4,0,0.5,{0.8},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.022614199988311157
10,4,0,0.5,{0.8},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.023176400005468167
10,4,0,0.5,{0.8},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01638509999611415
10,4,0,0.5,{0.8},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01519449999614153
10,4,0,0.5,{0.9},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016167200010386296
10,4,0,0.5,{0.9},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014761500002350658
10,4,0,0.5,{0.9},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016628099998342805
10,4,0,0.5,{0.9},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.016922700000577606
10,4,0,0.5,{0.9},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014979999992647208
10,4,0,3,{0.001},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.031165899999905378
10,4,0,3,{0.001},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.032462700008181855
10,4,0,3,{0.001},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.0331787000031909
10,4,0,3,{0.001},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.031044499992276542
10,4,0,3,{0.001},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.029892199992900714
10,4,0,3,{0.34},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014970500007621013
10,4,0,3,{0.34},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014671199998701923
10,4,0,3,{0.34},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014233199995942414
10,4,0,3,{0.34},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01587709999876097
10,4,0,3,{0.34},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014436899989959784
10,4,0,3,{0.5},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015364799997769296
10,4,0,3,{0.5},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015886199995293282
10,4,0,3,{0.5},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.013338900011149235
10,4,0,3,{0.5},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015351399997598492
10,4,0,3,{0.5},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015344600004027598
10,4,0,3,{0.8},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.013035599986324087
10,4,0,3,{0.8},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.013210500008426607
10,4,0,3,{0.8},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.01578509999671951
10,4,0,3,{0.8},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.025139999997918494
10,4,0,3,{0.8},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015090500004589558
10,4,0,3,{0.9},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015509799995925277
10,4,0,3,{0.9},tabu_search,1,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015448600010131486
10,4,0,3,{0.9},tabu_search,2,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.014960300002712756
10,4,0,3,{0.9},tabu_search,3,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.013625499996123835
10,4,0,3,{0.9},tabu_search,4,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.015448200007085688
10,4,0,5,{0.001},tabu_search,0,100.0,100.0,0.0,0.0,2,2.0,10,10,10,0.0337197000044398
